latitude,longitude
24.959,121.426
24.961,121.426
24.962,121.426
24.963,121.426
24.964,121.426
24.965,121.426
24.966,121.426
24.967,121.426
24.968,121.426
24.974,121.426
24.976,121.426
24.977,121.426
24.978,121.426
24.98,121.426
24.981,121.426
24.982,121.426
24.983,121.426
24.984,121.426
24.985,121.426
24.986,121.426
24.987,121.426
24.988,121.426
24.989,121.426
24.99,121.426
24.991,121.426
24.992,121.426
24.993,121.426
24.994,121.426
24.995,121.426
24.996,121.426
24.997,121.426
24.998,121.426
24.999,121.426
25,121.426
25.001,121.426
25.003,121.426
25.004,121.426
25.005,121.426
25.006,121.426
25.007,121.426
25.008,121.426
25.009,121.426
25.01,121.426
25.011,121.426
25.012,121.426
25.013,121.426
25.014,121.426
25.015,121.426
25.016,121.426
25.017,121.426
25.018,121.426
25.019,121.426
25.02,121.426
25.021,121.426
25.022,121.426
25.023,121.426
25.024,121.426
25.025,121.426
25.026,121.426
25.027,121.426
25.028,121.426
25.029,121.426
25.03,121.426
25.031,121.426
25.032,121.426
25.035,121.426
25.036,121.426
25.037,121.426
25.038,121.426
25.039,121.426
25.04,121.426
25.041,121.426
25.042,121.426
25.043,121.426
25.044,121.426
25.045,121.426
25.046,121.426
25.047,121.426
25.049,121.426
25.05,121.426
25.051,121.426
25.052,121.426
25.053,121.426
25.054,121.426
25.055,121.426
25.056,121.426
25.057,121.426
25.058,121.426
25.059,121.426
25.06,121.426
25.061,121.426
25.062,121.426
25.063,121.426
25.064,121.426
25.065,121.426
25.066,121.426
25.067,121.426
25.068,121.426
25.07,121.426
25.071,121.426
25.073,121.426
25.075,121.426
25.081,121.426
24.96,121.427
24.961,121.427
24.962,121.427
24.963,121.427
24.964,121.427
24.965,121.427
24.966,121.427
24.967,121.427
24.968,121.427
24.97,121.427
24.971,121.427
24.974,121.427
24.981,121.427
24.982,121.427
24.983,121.427
24.984,121.427
24.985,121.427
24.986,121.427
24.987,121.427
24.988,121.427
24.989,121.427
24.99,121.427
24.991,121.427
24.992,121.427
24.993,121.427
24.994,121.427
24.995,121.427
24.996,121.427
24.997,121.427
24.998,121.427
24.999,121.427
25,121.427
25.001,121.427
25.002,121.427
25.005,121.427
25.006,121.427
25.007,121.427
25.008,121.427
25.009,121.427
25.01,121.427
25.011,121.427
